_id,SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,RL_MSL,Data Acquisition Time,Groundwater Level Telemetry 6 Hourly (meter)
1,1,Bajengdoba_1,CGWB,17,Meghalaya,656,North Garo Hills,Bajengdoba,-,-,-,-,-,-,-,-,25.88838889,90.49321944,69.00,04-05-2023 18:00,-5.51
2,2,Bajengdoba_1,CGWB,17,Meghalaya,656,North Garo Hills,Bajengdoba,-,-,-,-,-,-,-,-,25.88838889,90.49321944,69.00,05-05-2023 00:00,-5.52
3,3,Bajengdoba_1,CGWB,17,Meghalaya,656,North Garo Hills,Bajengdoba,-,-,-,-,-,-,-,-,25.88838889,90.49321944,69.00,05-05-2023 06:00,-5.49
4,4,Bajengdoba_1,CGWB,17,Meghalaya,656,North Garo Hills,Bajengdoba,-,-,-,-,-,-,-,-,25.88838889,90.49321944,69.00,05-05-2023 12:00,-5.51
5,5,Bajengdoba_1,CGWB,17,Meghalaya,656,North Garo Hills,Bajengdoba,-,-,-,-,-,-,-,-,25.88838889,90.49321944,69.00,05-05-2023 18:00,-5.46
6,6,Bajengdoba_1,CGWB,17,Meghalaya,656,North Garo Hills,Bajengdoba,-,-,-,-,-,-,-,-,25.88838889,90.49321944,69.00,06-05-2023 00:00,-5.48
7,7,Bajengdoba_1,CGWB,17,Meghalaya,656,North Garo Hills,Bajengdoba,-,-,-,-,-,-,-,-,25.88838889,90.49321944,69.00,06-05-2023 06:00,-5.45
8,8,Bajengdoba_1,CGWB,17,Meghalaya,656,North Garo Hills,Bajengdoba,-,-,-,-,-,-,-,-,25.88838889,90.49321944,69.00,06-05-2023 12:00,-5.49
9,9,Bajengdoba_1,CGWB,17,Meghalaya,656,North Garo Hills,Bajengdoba,-,-,-,-,-,-,-,-,25.88838889,90.49321944,69.00,06-05-2023 18:00,-5.44
10,10,Bajengdoba_1,CGWB,17,Meghalaya,656,North Garo Hills,Bajengdoba,-,-,-,-,-,-,-,-,25.88838889,90.49321944,69.00,07-05-2023 00:00,-5.46
11,11,Bajengdoba_1,CGWB,17,Meghalaya,656,North Garo Hills,Bajengdoba,-,-,-,-,-,-,-,-,25.88838889,90.49321944,69.00,07-05-2023 06:00,-5.44
12,12,Bajengdoba_1,CGWB,17,Meghalaya,656,North Garo Hills,Bajengdoba,-,-,-,-,-,-,-,-,25.88838889,90.49321944,69.00,07-05-2023 12:00,-5.48
